tid[s],Ovn-Temp
249.0,70.71999
250.0,69.23333000000001
251.0,70.25999
252.0,70.60665999999999
253.0,71.29332000000001
254.0,71.29332000000001
255.0,71.06666
256.0,71.06666
257.0,71.86666
258.0,70.83333
259.0,72.43999
260.0,71.29332000000001
261.0,70.83333
262.0,71.52665999999999
263.0,72.66666000000001
264.0,71.86666
265.0,71.63999
266.0,72.55332
267.0,71.29332000000001
268.0,71.52665999999999
269.0,72.89999
270.0,70.83333
271.0,72.43999
272.0,71.40666
273.0,71.86666
274.0,71.86666
275.0,72.55332
276.0,72.32665999999999
277.0,72.43999
278.0,71.75333
279.0,71.52665999999999
280.0,73.01332000000001
281.0,72.43999
282.0,71.97999
283.0,72.43999
284.0,72.32665999999999
285.0,72.21333
286.0,73.92666
287.0,71.29332000000001
288.0,72.89999
289.0,73.47333
290.0,70.83333
291.0,73.58666000000001
292.0,72.66666000000001
293.0,73.01332000000001
294.0,72.32665999999999
295.0,72.43999
296.0,73.23998999999999
297.0,72.66666000000001
298.0,72.66666000000001
299.0,73.47333
300.0,73.47333
301.0,72.66666000000001
302.0,73.23998999999999
303.0,73.12666
304.0,73.69999
305.0,73.01332000000001
306.0,73.47333
307.0,73.35999
308.0,73.23998999999999
309.0,73.81333
310.0,72.32665999999999
311.0,73.35999
312.0,72.66666000000001
313.0,72.55332
314.0,73.12666
315.0,73.92666
316.0,73.92666
317.0,75.19333
318.0,74.27332
319.0,74.15999
320.0,73.35999
321.0,73.58666000000001
322.0,73.23998999999999
323.0,72.32665999999999
324.0,74.15999
325.0,73.01332000000001
326.0,73.23998999999999
327.0,73.81333
328.0,73.23998999999999
329.0,73.12666
330.0,73.81333
331.0,73.01332000000001
332.0,73.35999
333.0,73.58666000000001
334.0,74.95998999999999
335.0,74.38666
336.0,73.58666000000001
337.0,73.81333
338.0,74.38666
339.0,75.07333
340.0,74.15999
341.0,74.49999
342.0,73.58666000000001
343.0,73.35999
344.0,75.30666000000001
345.0,73.23998999999999
346.0,74.38666
347.0,74.73333
348.0,74.15999
349.0,75.30666000000001
350.0,74.95998999999999
351.0,73.81333
352.0,75.75999
353.0,75.19333
354.0,74.84666
355.0,75.19333
356.0,73.81333
357.0,75.30666000000001
358.0,75.41999
359.0,73.92666
360.0,74.27332
361.0,74.38666
362.0,75.53332
363.0,75.41999
364.0,75.30666000000001
365.0,75.19333
366.0,75.30666000000001
367.0,75.30666000000001
368.0,76.79332
369.0,75.30666000000001
370.0,75.19333
371.0,75.30666000000001
372.0,76.79332
373.0,75.64666
374.0,75.99332
375.0,74.73333
376.0,74.38666
377.0,74.61999
378.0,74.49999
379.0,75.30666000000001
380.0,75.30666000000001
381.0,75.64666
382.0,75.53332
383.0,75.30666000000001
384.0,75.53332
385.0,75.19333
386.0,76.67998999999999
387.0,75.99332
388.0,75.19333
389.0,75.53332
390.0,75.75999
391.0,75.30666000000001
392.0,75.87998999999999
393.0,76.21999
394.0,75.64666
395.0,75.30666000000001
396.0,75.41999
397.0,75.64666
398.0,75.30666000000001
399.0,76.21999
400.0,74.73333
401.0,74.95998999999999
402.0,75.64666
403.0,76.33333
404.0,76.79332
405.0,76.33333
406.0,75.53332
407.0,77.25332
408.0,76.45333
409.0,76.21999
410.0,75.75999
411.0,76.33333
412.0,77.71333
413.0,76.67998999999999
414.0,76.90666
415.0,77.02666
416.0,76.56666
417.0,77.13999
418.0,76.67998999999999
419.0,77.59333000000001
420.0,76.33333
421.0,76.33333
422.0,75.99332
423.0,77.02666
424.0,77.36666
425.0,76.56666
426.0,77.71333
427.0,75.87998999999999
428.0,77.59333000000001
429.0,75.87998999999999
430.0,77.13999
431.0,76.79332
432.0,77.25332
433.0,77.93999000000001
434.0,76.90666
435.0,77.82666
436.0,76.45333
437.0,77.36666
438.0,78.05333
439.0,77.36666
440.0,76.79332
441.0,76.45333
442.0,77.36666
443.0,77.13999
444.0,77.71333
445.0,76.33333
446.0,77.13999
447.0,77.36666
448.0,77.02666
449.0,76.90666
450.0,78.28666
451.0,76.33333
452.0,76.90666
453.0,78.16666
454.0,77.36666
455.0,77.36666
456.0,78.85999
457.0,79.19999
458.0,77.93999000000001
459.0,77.82666
460.0,77.13999
461.0,76.79332
462.0,77.59333000000001
463.0,76.45333
464.0,77.82666
465.0,77.13999
466.0,77.71333
467.0,78.85999
468.0,77.93999000000001
469.0,77.36666
