CH1V,CH2V
0.38064,0.04066667
0.3334133,0.08666667
0.35792,0.018
0.34144,0.018
0.31872,0.02933334
0.35256,0.02933334
0.3744,-0.028
0.33296,-0.06200001
0.3396533,-0.1193333
0.36192,0.064
0.3111467,0.006666667
0.3436533,0.006666667
0.3307467,0.006666667
0.30936,0.006666667
0.33832,-0.05066667
0.3565867,-0.016
0.3552267,-0.016
0.3779467,0.064
0.3409867,-0.03933334
0.34856,-0.016
0.3605867,-0.016
0.3565867,0.07533334
0.3338667,0.04066667
0.3507733,0.04066667
0.32672,-0.03933334
0.29688,0.04066667
0.3436533,0.04066667
0.3503467,-0.004666667
0.3316267,0.04066667
0.3498933,-0.03933334
0.35256,0.08666667
0.3481067,0.02933334
0.30848,0.07533334
0.3253867,0.064
0.3213867,0.018
0.3222667,-0.142
0.32896,-0.028
0.34144,0.006666667
0.31872,0.08666667
0.3418667,0.098
0.3574667,0.018
0.3071467,-0.09600001
0.31024,-0.028
0.3276267,-0.06200001
0.32984,-0.03933334
0.3080267,0.098
0.001573333,-0.03933334
0.3200533,5.08
0.3116,0.006666667
0.3151467,0.018
0.2995733,-0.07333334
0.3138133,-0.188
0.2862133,-0.07333334
0.3552267,-0.028
0.3512267,-0.028
0.3632533,0.07533334
0.3708267,0.064
0.3686133,0.052
0.35792,0.064
0.3784,-0.1646667
0.38064,-0.016
0.4024533,-0.028
0.394,-0.07333334
0.4180533,-0.016
0.4568,-0.05066667
0.3984533,-0.03933334
0.4372,-0.028
0.5365334,5.034667
0.5089067,5.023334
0.5142667,4.977334
0.50936,5.137334
0.5253867,4.886
0.5280533,4.977334
0.5271733,4.931334
0.5280533,5.023334
0.5302933,4.954667
0.5414133,5.023334
0.5578933,4.931334
0.5240533,4.943334
0.5146933,5.011334
0.50312,4.988667
0.5111467,4.908667
0.55032,4.886
0.5111467,4.977334
0.5547733,5.023334
0.5106933,5.034667
0.5240533,5
0.5057867,5.023334
0.5245067,4.908667
0.5182667,4.943334
0.5035734,5.011334
0.5209333,4.851334
0.5115733,5.046
0.5146933,5.034667
